block,0.0,0.0,0.0,0.0,wall,walls
block,2,2,0,0,none,empty
block,7,0,0,0,wall,upwall
block,7,9,0,0,door,downdoor
block,0,4.5,0,0,door,leftdoor
block,14,4.5,0,0,wall,rightwall
block,3,3,0,0,rigid,water
block,3,4,0,0,rigid,water
block,3,5,0,0,rigid,water
block,3,6,0,0,rigid,water
block,3,7,0,0,rigid,water
block,4,3,0,0,rigid,water
block,4,7,0,0,rigid,water
block,5,3,0,0,rigid,water
block,5,5,0,0,rigid,water
block,5,7,0,0,rigid,water
block,6,5,0,0,rigid,water
block,7,5,0,0,rigid,water
block,8,5,0,0,rigid,water
block,9,5,0,0,rigid,water
block,10,3,0,0,rigid,water
block,10,5,0,0,rigid,water
block,10,7,0,0,rigid,water
block,11,3,0,0,rigid,water
block,11,7,0,0,rigid,water
block,12,3,0,0,rigid,water
block,12,4,0,0,rigid,water
block,12,5,0,0,rigid,water
block,12,6,0,0,rigid,water
block,12,7,0,0,rigid,water
enemy,5,6,0,0,goriya,,
enemy,5,2,0,0,goriya,,
enemy,6,4,0,0,goriya,,
player,7.5,9,0,0
